#Depth	Raw_Count	Unique_Kmers
1109	5608049	5057
1110	5528271	4980
1111	5572121	5015
1112	5713642	5138
1113	5682665	5106
1114	5775094	5184
1115	5633808	5053
1116	5546288	4970
1117	5493657	4918
1118	5633212	5039
1119	5546009	4956
1120	5513767	4923
1121	5627388	5020
1122	5454235	4861
1123	5364001	4776
1124	5432301	4833
1125	5558919	4941
1126	5542177	4922
1127	5378867	4773
1128	5504634	4880
1129	5527779	4896
1130	5378067	4759
1131	5483518	4848
1132	5381230	4754
1133	5431465	4794
1134	5328632	4699
1135	5277166	4649
1136	5451101	4799
1137	5370200	4723
1138	5398805	4744
1139	5393158	4735
1140	5280100	4632
1141	5382208	4717
1142	5408633	4736
1143	5324808	4659
1144	5510484	4817
1145	5376657	4696
1146	5364051	4681
1147	5485955	4783
1148	5414921	4717
1149	5512399	4798
1150	5253922	4569
1151	5432378	4720
1152	5489926	4766
1153	5443747	4721
1154	5343940	4631
1155	5239409	4536
1156	5387856	4661
1157	5275669	4560
1158	5277574	4557
1159	5555872	4794
1160	5225687	4505
1161	5308242	4572
1162	5215755	4489
1163	5177087	4451
1164	5204114	4471
1165	5201011	4464
1166	5151287	4418
1167	5348751	4583
1168	5247972	4493
1169	5026908	4300
1170	5131963	4386
1171	5200584	4441
1172	5196354	4434
1173	5215729	4446
1174	5179212	4412
1175	5174009	4403
1176	5250412	4465
1177	5136981	4364
1178	5159425	4380
1179	5094213	4321
1180	5251077	4450
1181	5197406	4401
1182	5115516	4328
1183	5254949	4442
1184	5173537	4370
1185	5116902	4318
1186	5189356	4376
1187	5086059	4285
1188	5064428	4263
1189	5142069	4325
1190	5123846	4306
1191	5103724	4285
1192	5171298	4338
1193	5089949	4267
1194	5234580	4384
1195	5152618	4312
1196	5045932	4219
1197	5142391	4296
1198	5058800	4223
1199	5132613	4281
1200	5229710	4358
1201	5111320	4256
1202	5313178	4420
1203	5114736	4252
1204	5156346	4283
1205	5157899	4280
1206	5199946	4312
1207	4966711	4115
1208	5120579	4239
1209	5051120	4178
1210	5034836	4161
1211	4965949	4101
1212	5000046	4125
1213	4977034	4103
1214	5016999	4133
1215	4960089	4082
1216	5049968	4153
1217	4874453	4005
1218	4929608	4047
1219	4906000	4025
1220	4902671	4019
1221	4937211	4044
1222	4868850	3984
1223	4954652	4051
1224	4996563	4082
1225	4908954	4007
1226	4844294	3951
1227	5047897	4114
1228	4955863	4036
1229	4920581	4004
1230	4862223	3953
1231	4989766	4053
1232	5008634	4065
1233	4951059	4015
1234	4981304	4037
1235	4970470	4025
1236	4896480	3962
1237	4769694	3856
1238	4774306	3856
1239	4911945	3964
1240	4705596	3795
1241	4773182	3846
1242	4722026	3802
1243	4850381	3902
1244	4778333	3841
1245	4820503	3872
1246	4904427	3936
